
2024/07/01 (11:42:02) | ===> btop++ v.1.3.2
2024/07/01 (11:42:02) | INFO: Logger set to DEBUG
2024/07/01 (11:42:02) | DEBUG: Using locale en_US.UTF-8
2024/07/01 (11:42:02) | INFO: Running on /dev/pts/0
2024/07/01 (11:42:03) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/01 (11:42:03) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/01 (11:42:03) | DEBUG: Shared::init() : Initialized.
2024/07/01 (11:42:10) | INFO: Quitting! Runtime: 00:00:08

2024/07/01 (14:23:38) | ===> btop++ v.1.3.2
2024/07/01 (14:23:38) | INFO: Logger set to DEBUG
2024/07/01 (14:23:38) | DEBUG: Using locale en_US.UTF-8
2024/07/01 (14:23:38) | INFO: Running on /dev/pts/1
2024/07/01 (14:23:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/01 (14:23:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/01 (14:23:38) | DEBUG: Shared::init() : Initialized.
2024/07/01 (14:28:19) | INFO: Quitting! Runtime: 00:04:41

2024/07/01 (19:29:42) | ===> btop++ v.1.3.2
2024/07/01 (19:29:42) | INFO: Logger set to DEBUG
2024/07/01 (19:29:42) | DEBUG: Using locale en_US.UTF-8
2024/07/01 (19:29:42) | INFO: Running on /dev/pts/0
2024/07/01 (19:29:42) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/01 (19:29:42) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/01 (19:29:42) | DEBUG: Shared::init() : Initialized.
2024/07/01 (19:30:14) | INFO: Quitting! Runtime: 00:00:32

2024/07/02 (11:31:33) | ===> btop++ v.1.3.2
2024/07/02 (11:31:33) | INFO: Logger set to DEBUG
2024/07/02 (11:31:33) | DEBUG: Using locale en_US.UTF-8
2024/07/02 (11:31:33) | INFO: Running on /dev/pts/0
2024/07/02 (11:31:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/02 (11:31:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/02 (11:31:33) | DEBUG: Shared::init() : Initialized.
2024/07/02 (11:32:56) | INFO: Quitting! Runtime: 00:01:23

2024/07/02 (11:37:00) | ===> btop++ v.1.3.2
2024/07/02 (11:37:00) | INFO: Logger set to DEBUG
2024/07/02 (11:37:00) | DEBUG: Using locale en_US.UTF-8
2024/07/02 (11:37:00) | INFO: Running on /dev/pts/0
2024/07/02 (11:37:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/02 (11:37:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/02 (11:37:00) | DEBUG: Shared::init() : Initialized.
2024/07/02 (11:37:04) | INFO: Quitting! Runtime: 00:00:04

2024/07/03 (10:31:44) | ===> btop++ v.1.3.2
2024/07/03 (10:31:44) | INFO: Logger set to DEBUG
2024/07/03 (10:31:44) | DEBUG: Using locale en_US.UTF-8
2024/07/03 (10:31:44) | INFO: Running on /dev/pts/0
2024/07/03 (10:31:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/03 (10:31:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/03 (10:31:44) | DEBUG: Shared::init() : Initialized.
2024/07/03 (10:31:49) | INFO: Quitting! Runtime: 00:00:05

2024/07/04 (17:47:40) | ===> btop++ v.1.3.2
2024/07/04 (17:47:40) | INFO: Logger set to DEBUG
2024/07/04 (17:47:40) | DEBUG: Using locale en_US.UTF-8
2024/07/04 (17:47:40) | INFO: Running on /dev/pts/0
2024/07/04 (17:47:40) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/04 (17:47:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/04 (17:47:40) | DEBUG: Shared::init() : Initialized.
2024/07/04 (18:15:29) | DEBUG: Writing new config file
2024/07/04 (18:15:29) | INFO: Quitting! Runtime: 00:27:49

2024/07/08 (14:12:22) | ===> btop++ v.1.3.2
2024/07/08 (14:12:22) | INFO: Logger set to DEBUG
2024/07/08 (14:12:22) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (14:12:22) | INFO: Running on /dev/pts/0
2024/07/08 (14:12:22) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (14:12:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/08 (14:12:22) | DEBUG: Shared::init() : Initialized.
2024/07/08 (14:13:00) | INFO: Quitting! Runtime: 00:00:38

2024/07/08 (14:14:09) | ===> btop++ v.1.3.2
2024/07/08 (14:14:09) | INFO: Logger set to DEBUG
2024/07/08 (14:14:09) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (14:14:09) | INFO: Running on /dev/pts/0
2024/07/08 (14:14:09) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (14:14:09) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/08 (14:14:09) | DEBUG: Shared::init() : Initialized.
2024/07/08 (14:14:50) | DEBUG: Writing new config file
2024/07/08 (14:14:50) | INFO: Quitting! Runtime: 00:00:41

2024/07/08 (14:16:18) | ===> btop++ v.1.3.2
2024/07/08 (14:16:18) | INFO: Logger set to DEBUG
2024/07/08 (14:16:18) | DEBUG: Using locale en_US.UTF-8
2024/07/08 (14:16:18) | INFO: Running on /dev/pts/0
2024/07/08 (14:16:18) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (14:16:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
